iter	Logloss
309	0.1942328479
310	0.1942087783
311	0.1941546337
312	0.1941106568
313	0.1940469091
314	0.1939993397
315	0.1939540603
316	0.193902931
317	0.1938500551
318	0.1938186873
319	0.1937773874
320	0.193714772
321	0.1936756163
322	0.1936349518
323	0.1935695622
324	0.1935183305
325	0.1934343341
326	0.1933616906
327	0.1933193484
328	0.1932743565
329	0.193207012
330	0.193172431
331	0.1931295664
332	0.1930944356
333	0.1930374153
334	0.1929931234
335	0.1929372079
336	0.1928800892
337	0.1928491272
338	0.1928240046
339	0.1927948632
340	0.1927579668
341	0.1927215515
342	0.192684875
343	0.1926465841
344	0.1926113984
345	0.192562629
346	0.1925137083
347	0.1924735461
348	0.1924114213
349	0.1923747205
350	0.192304459
351	0.1922514996
352	0.1922124517
353	0.1921642479
354	0.1921193797
355	0.192076957
356	0.1920371701
357	0.1919877938
358	0.1919344453
359	0.1918912878
360	0.1918478798
361	0.1918063473
362	0.1917707587
363	0.1917122551
364	0.1916475229
365	0.1915940888
366	0.1915606581
367	0.1915171338
368	0.1914761648
369	0.1914446213
370	0.191385736
371	0.1913177688
372	0.1912889816
373	0.1912493353
374	0.1912035654
375	0.1911676819
376	0.1911216825
377	0.1910831801
378	0.1910514707
379	0.1910141376
380	0.1909779961
381	0.1909466853
382	0.1909163683
383	0.1908863832
384	0.1908444966
385	0.1908026025
386	0.1907427233
387	0.1907006399
388	0.1906624241
389	0.1906011092
390	0.1905735157
391	0.1905530788
392	0.1905155744
393	0.1904843672
394	0.1904379174
395	0.1904043873
396	0.1903582008
397	0.1903230996
398	0.1902955019
399	0.1902558186
400	0.1902087577
401	0.1901660812
402	0.1901263757
403	0.190086262
404	0.1900477152
405	0.1900241171
406	0.1899420289
407	0.189914392
408	0.1898625903
409	0.1898207439
410	0.1897976099
411	0.1897518705
412	0.1897167504
413	0.1896836114
414	0.1896426605
415	0.1896119057
416	0.189573506
417	0.1895406779
418	0.1895101474
419	0.1894718332
420	0.1894391479
421	0.1893995608
422	0.1893609093
423	0.1893099228
424	0.1892892882
425	0.1892225189
426	0.1891837395
427	0.1891555359
428	0.1891160725
429	0.1890944811
430	0.1890673179
431	0.1890351273
432	0.1890116424
433	0.1889778078
434	0.1889367627
435	0.1888969144
436	0.1888427445
437	0.1888015376
438	0.18877625
439	0.1887388155
440	0.1887164618
441	0.1886860581
442	0.1886566429
443	0.1886058836
444	0.1885745495
445	0.1885276081
446	0.1884886458
447	0.1884519546
448	0.1884120228
449	0.1883832261
450	0.1883544199
451	0.1882957894
452	0.1882436737
453	0.1882096308
454	0.1881713389
455	0.1881347724
456	0.1880934968
457	0.1880278397
458	0.1879833627
459	0.1879469094
460	0.1878836829
461	0.1878540721
462	0.1878180786
463	0.1877868164
464	0.1877567489
465	0.1877194539
466	0.1876617358
467	0.1876164987
468	0.1875637169
469	0.1875239691
470	0.1874953818
471	0.1874677946
472	0.1874332601
473	0.1874133942
